Word,ExpectedKana
cortege,コーテイジ
imbibe,インバイブ
kay,ケイ
proctological,プロクトロジカル
septuplets,セプチュプレッツ
encircled,エンサークルド
excludes,エクスクルーズ
stubbly,スタブリイ
triphosphate,トゥリフォスフェイト
spatted,スパッティド
saturate,サチュレイト
cheat,チート
rumpled,ランプルド
behari,ビハリ
haystack,ヘイスタック
congestive,コンジェスティブ
thigh,サイ
insb,インスビー
intensification,インテンシフィケイション
coniferous,コニフェラス
fluent,フルーエント
dozed,ドウズド
penang,ペナン
denies,ディナイズ
whitish,ホワイティッシュ
behcet,バーシェト
amnio,アムニオウ
soften,ソフン
beechen,ビーチン
dispute,ディスピュート
abacus,アバカス
ornis,オーニス
capkey,キャップキー
littered,リタード
soruces,ソウラシーズ
mutt,マット
gravis,グラビス
sacristy,サクリスティー
gabby,ギャビイ
yegor,エゴル
amedia,アメディア
amputee,アンピュティイ
oxytocin,オキシトシン
eric,エリック
reprinted,リプリンティド
enemy,エネミー
spirted,スパーティド
chile,チリ
motivate,モティベイト
carey,ケアリイ
energetic,エナジェティク
colored,カラード
rationalization,ラショナリゼイション
isle,アイル
rpoint,アールポイント
discern,ディサーン
dossier,ドシエイ
zippel,ジッペル
conductance,コンダクタンス
marshes,マーシズ
expressing,エクスプレッシング
waffle,ワッフル
sordino,ソルディーノ
kafkaesque,カフカエスク
minolta,ミノルタ
pioneer,パイオニアー
tobias,トバイアス
piedmont,ピードゥモント
daintiness,デインティネス
syllogise,シロガイズ
sultan,サルタン
agadir,アガディール
fabricates,ファブリケイツ
tempestuous,テンペスチュアス
dogg,ドッグ
singapore,シンガポア
siesta,シエスタ
bracketing,ブラケティング
filch,フィルチ
descried,ディスクライド
rodgers,ロッジャース
ottumwa,オッタムワ
dress,ドゥレス
commentate,コメンテイト
hastier,ヘイスティアー
puce,ピュース
disciple,ディサイプル
ahem,アヘム
baffle,バッフル
rampancy,ランパンシー
anthropologist's,アンソロポロジストゥズ
metres,ミーターズ
immanency,イマナンシイ
biopsies,バイオプシイズ
issued,イシュード
gorki,ゴーリキイ
egotistic,エゴティスティック
garage,ガラージ
slighted,スライティド
permeated,パーミエイティド
prefectural,プリフェクチュラル
thesaurus,シソーラス
logitec,ロジテック
voracity,ボラシティー
converses,コンバーシズ
demographic,デモグラフィック
porching,ポーチング
convergence,コンヴァージェンス
privileged,プリビレッジド
wood,ウッド
teared,ティアード
apprize,アプライズ
cfile,シイファイル
tiptoe,ティップトウ
position,ポジション
ternary,ターナリー
vaudois,ボードワー
maggot,マゴット
teaser,ティーザー
eluded,イリューディド
placemat,プレイスマット
nuts,ナッツ
blazon,ブレイゾン
factious,ファクシャス
protestor,プロテスター
discipline,ディシプリン
shiah,シーア
alveola,アルヴィーアラ
curing,キュアリング
crinkled,クリンクルド
fixer,フィクサー
phiz,フィズ
fisubr,エフアイサブアール
humored,ヒューモアド
redressed,リドゥレスト
stout,スタウト
steven,スティーブン
branded,ブランディド
grumpiest,グランピエスト
lafaye,ラファイ
harvester,ハーベスター
hooer,フーアー
fnop,エフノップ
albino,アルバイノウ
touchy,タッチー
bified,バイファイド
brussel,ブラスル
caging,ケイジング
steamer,スティーマー
ticking,ティッキング
iconoclastic,アイコノクラスティック
alexandria,アレクサンドゥリア
lob,ロブ
specialist,スペシャリスト
perimmysium,ペリミシウム
recur,リカー
reductive,リダクティブ
dissipation,ディシペイション
gelatin,ジェラティン
semster,セムスター
he,ヒー
rem,レム
nutritional,ニュートゥリショナル
fortuneteller,フォーチュンテラー
perambulator,パランビュレイター
tadashi,タダシ
glamis,グラームス
dermatologist,ダーマトロジスト
stellar,ステラー
transplantable,トゥランスプランタブル
bugaboo,バガブー
dinosaur,ダイノソア
weightiest,ウェイティエスト
stratification,ストゥラティフィケイション
pleaded,プリーディド
rivulet,リビュレット
hunston,ハンストン
facilitates,ファシリテイツ
favourable,フェイヴァラブル
provided,プロヴァイディド
ignition,イグニション
titanosaur,ティタノソア
rollicking,ロリッキング
intonated,イントネイティド
young,ヤング
induration,インデュレイション
otolith,オウタリス
furlong,ファーロング
nifp,ニフピー
hatch,ハッチ
ator,エイター
agonies,アゴニーズ
deliberative,ディリバレイティヴ
bossiness,ボシネス
analyzer,アナライザー
extrude,イクストゥルード
sanitarian,サニテイリアン
reeky,リーキー
mudslinging,マッドゥスリンギング
projecting,プロジェクティング
title,タイトゥル
cranial,クレイニアル
adriatic,エイドゥリアティック
digipeat,ディジピート
thymine,サイミーン
aboutdialog,アバウトゥダイアログ
meserve,メサーブ
tokyo,トウキョウ
traumatising,トゥローマタイジング
correspondingly,コレスポンディングリイ
fib,フィブ
epicardium,エピカーディアム
doonesbury,ヅーンズベリー
sagital,サジタル
toll,トール
endues,エンデューズ
swept,スェプト
reinfection,リインフェクション
tenderness,テンダネス
conok,コノク
tepee,ティーピー
betted,ベッティド
ploy,プロイ
hypodermic,ハイポダーミク
slow,スロウ
customed,カスタムド
pertain,パーテイン
crash,クラッシュ
consecution,コンシキューション
ululation,アリュレイション
clad,クラッド
susceptible,サセプティブル
hem,ヘム
brentwood,ブレントゥウッド
corrupting,コラプティング
darth,ダース
dyes,ダイズ
membrane,メンブレイン
pamphlet,パンフレット
quittner,クイットナー
blanche,ブランチ
angola,アンゴラ
mere,ミアー
pith,ピス
osteoblasts,オステオブラスツ
implicates,インプリケイツ
shopping,ショッピング
caldron,コールドゥロン
moping,モウピング
frustrates,フラストゥレイツ
memorabilias,メマラビリアズ
tarriffville,ターリフヴァイル
windowsxp,ウィンドウズエックスピー
frisson,フリーソン
cincinnatti,シンシナティー
debris,ディブリー
staph,スタッフ
tap,タップ
disp,ディスプ
proxy,プロクシー
enogh,イナフ
sherry,シェリー
learn,ラーン
tenant,テナント
pharmacist,ファーマシスト
jesperson,ジェスパーソン
nightly,ナイトゥリイ
sadovskaya,サドフスカヤ
gorging,ゴージング
dies,ダイズ
aromour,アーマー
moister,モイスター
cofferdam,コファーダム
browses,ブラウジズ
dracula,ドゥラキュラ
wodge,ウッジ
blithest,ブライゼスト
demanding,ディマンディング
morose,モロウス
bonnichsen,ボニクセン
spudded,スパッディド
shapen,シェイプン
ovarian,オバリアン
soarly,ソアリー
spined,スパインド
acetaminophen,アセタミノーフェン
sanctifies,サンクティファイズ
omfax,オーエムファックス
normotensive,ノウモテンシブ
compacting,コンパクティング
pump,パンプ
ancillary,アンシラリー
likud,リクード
rabies,ラビーズ
bangkok,バンコック
cauterized,コーテライズド
owe,オウ
ensconce,エンスコンス
expropriated,エクスプロプリエイティド
penetrating,ペネトゥレイティング
transmittal,トゥランスミタル
striated,ストゥライエイティド
caustic,コースティック
observable,オブザーバブル
tuft,タフト
yarning,ヤーニング
lurid,ルアリド
short,ショート
carwash,カーウォッシュ
pajamas,パジャマズ
royalty,ロイヤルティー
acquit,アクイット
glistle,グリスル
deponent,ディポーネント
archery,アーチェリー
haemorheological,ヘモレィオゥロジカル
declining,ディクライニング
wilting,ウィルティング
tagged,タグド
axiomatic,アクシオマティク
schmoozer,シュムーザー
dexterous,デクスタラス
uro,ユーロ
jew,ジュー
cotta,コッタ
denudes,デヌーヅ
scimitar,シミター
guitarist,ギターリスト
silberman,シルバーマン
twine,トゥワイン
miniature,ミニチュア
jumpsrchy,ジャンプサーチワイ
ulterior,アルティーリア
kneel,ニール
punkish,パンキシュ
become,ビカム
perched,パーチト
blousy,ブラウジイ
squattiness,スクワッティネス
lambast,ランベイスト
decriminalize,ディクリミナライズ
hunted,ハンティド
circularity,サーキュラリティー
abiding,アバイディング
sanskrit,サンスクリット
platitude,プラティテュード
rotunda,ロタンダ
reservate,リザヴェイト
home,ホウム
viol,ヴァイオル
reporter,リポーター
admit,アドゥミット
macbeth,マクベス
hone,ホウン
blair,ブレア
adventists,アドゥベンティスツ
perjury,パージュリー
ornithine,オルニチン
rusticate,ラスティケイト
ascension,アセンション
spellacy,スペラシイ
insulating,インスレィティング
understand,アンダスタンド
fledgling,フレッジリング
preternaturally,プリータナチュラリー
rasher,ラッシャー
fraulein,フローライン
leach,リーチ
mistalken,ミストークン
pottery,ポタリー
pressure,プレッシャー
visited,ヴィジティッド
bplay,ビープレイ
recondite,レコンダイト
imminence,イミネンス
malleability,マリアビリティー
nutrient,ニュートゥリエント
tempe,ティーンプ
numbed,ナムド
latino,ラティイノ
capacities,キャパシティーズ
enclosure,エンクロウジャー
imaginatability,イマジネイタビリティー
believability,ビリーバビリティイ
dissolute,ディソリュート
macroscope,マクロスコウプ
vertically,ヴァーティカリー
sobel,ソベル
palmer,パーマー
reproached,リプロウチト
coveter,カビッター
ostracizing,オストゥラサイジング
uni,ユニ
speechifies,スピーチファイズ
congenially,コンジニアリー
graze,グレイズ
leukemic,リュキイミク
aldus,アルダス
mes,メス
grammy,グラミー
commingle,コミングル
emitted,エミッティド
so,ソ
inote,アイノート
criminalized,クリミナライズド
reed,リード
patron,ペイトゥロン
tubercular,トゥーバキュラー
appliances,アプライアンシス
grandparents,グランドゥペアレンツ
zaire,ザイアー
economized,エコノマイズド
discussion,ディスカッション
baptizes,バプタイジーズ
amusia,エイミュージア
acidic,アシディック
adlib,アドゥリブ
bits,ビッツ
realized,リアライズド
junko,ジュンコ
gruel,グルーアル
telegu,テルグー
bolshevism,ボルシェヴィズム
magnanimous,マグナニマス
chord's,コードゥズ
merlin,マーリン
situated,シチュエイティド
amputate,アンピューテイト
moodiness,ムーディネス
engineered,エンジニアド
milli,ミリ
bloviating,ブロウビエイティング
hubble,ハブル
mansfield,マンスフィールド
idealization,アイディアリゼイション
atheistical,エイシイスティカル
mumbled,マンブルド
demented,ディメンティド
silicate,シリケット
rectifies,レクティファイズ
hedge,ヘッジ
bodybuilding,ボディービルディング
intimidated,インティミデイティド
bequeathed,ビクイースト
abortional,アボーショナル
resuscitate,リサシテイト
cliplead,クリップリード
cyanate,サイアネイト
monopolistically,モノポリスティカリー
hurries,ハリース
destroyer,ディストゥロイアー
zocor,ゾコー
mobidem,モビデム
netscape,ネットゥスケイプ
punishable,パニッシャブル
guilty,ギルティー
cpro,シープロ
commensurate,コメンシュレイト
bronzes,ブロンジズ
mated,メイティド
forbore,フォーボーア
glitchy,グリッチイ
glides,グライズ
betamax,ベータマックス
providential,プロヴィデンシャル
empathic,エンパシク
fishes,フィッシズ
adore,アドアー
rheumatology,リューマトロジー
branegan,ブランガン
suny,スーニー
nizoral,ナイゾラル
elevating,エレベイティング
bombing,ボウミング
cellulose,セリュロース
claiming,クレイミング
lozenge,ロザンジ
strategist,ストゥラテジスト
plummeted,プラマティド
bilge,ビルジ
mifes,マイフェス
preferable,プレファラブル
rating,レイティング
scoring,スコアリング
virginal,ヴァージナル
tromping,トゥロンピング
pettifogger,ペティフォガー
filibuster,フィリバスター
coherency,コヒアランシイ
tare,テア
fungous,ファンガス
hiss,ヒス
channelled,チャネルド
critique,クリティーク
recidivism,リシディビズム
anamorphic,アナモーフィック
atrophic,アトゥロフィック
insociant,インソウシアント
exce,イクセ
imaginatably,イマジネイタブリー
phen,フィーン
scooter,スクーター
brindle,ブリンドゥル
bandolier,バンドリアー
wreaking,リーキング
aardvark,アードバーク
spiritualising,スピリチュアライジング
harangued,ハラングド
professed,プロフェスト
resolve,リゾルブ
attendants,アテンダンツ
effuse,イフィゥズ
forested,フォレスティド
trauma,トゥローマ
defrauding,ディフローディング
perfect,パーフェクト
sleights,スライツ
fuel,フィゥーエル
sheepish,シーピッシュ
forest,フォーレスト
blocked,ブロックド
doomsday,ドゥームズデイ
defeated,ディフィーティド
conley,コンリイ
megaphones,メガホンズ
glaxo,グラクソ
cobbler,コブラー
amytal,アミタール
entertainer,エンタテイナー
hallucis,ハルーシス
destructive,ディストゥラクティブ
gerry,ゲリイ
rustication,ラスティケイション
accomplishes,アコンプリッシイズ
filth,フィルス
gastroenterologi,ガストゥロエンテロロジスツ
paradisaical,パラディセイイカル
perry,ペリー
carring,キャリング
obligated,オブリゲイティド
easy,イージイ
fairest,フェアレスト
chemically,ケミカリー
pippi,ピッピ
odisa,オディッサ
gnus,グヌーズ
syndesmosis,シンデズモウシス
antarctica,アンタークティカ
nicer,ナイサー
plutarch,プルターク
one,ワン
lounges,ラウンジズ
mcevoy,マケボイ
dips,ディップス
swearer,スェアラー
septupled,セプチュプルド
scantling,スキャントゥリング
ponfiticate,ポンフィティケト
institution,インスティチューション
australasian,オーストゥラレイジャン
saturates,サチュレイツ
arbitrate,アービトゥレイト
proudy,プラウディー
thermic,サーミック
hinterland,ヒンターランド
humanized,ヒューマナイズド
madder,マダー
diffs,ディフズ
following,フォローイング
highbrows,ハイブラウス
threshold,スレショウルド
quadruplicating,クワドゥループリケイティング
heft,ヘフト
infantilizing,インファンティライジング
corrigible,コリジブル
attorney,アトーニー
wadia,ワディア
critics,クリティクス
internationalization,インターナショナリゼイション
fgalst,エフギャルエスティー
wounds,ウーンズ
lary,ラリー
motgage,モートゥゲイジ
inequities,イネクイティイズ
hemispheric,ヘミスフェリク
disharmony,ディスハーモニー
abroad,アブロウド
advertize,アドゥヴァアタイズ
deviate,ディヴィエイト
compliant,コンプライアント
prisoner,プリズナー
extend,エクステンド
procrastinative,プロクラスティネイティブ
oligarch,オリガーク
grantees,グランティース
facilitated,ファシリテイティド
venturing,ベンチュアリング
infiltrated,インフィルトゥレイティド
lotta,ロッタ
bleaching,ブリーチング
belli,ベライ
hyperemia,ハイパリーミア
alteplase,アルテプレイス
rodomontade,ロドモンテイド
fluvastatin,フルバスタチン
signior,シニョール
chronicler,クロニクラー
division,ディビジョン
vexed,ベックスト
impunity,インピュニティー
contacting,コンタクティング
dazaifu,ダザイフ
booming,ブーミング
veto,ビートウ
supplementing,サプリメンティング
cane,ケイン
gym,ジム
seychelles,セイシェルズ
fowards,フォワーズ
rendition,レンディション
trappist,トゥラピスト
pannikin,パニキン
intimidation,インティミデイション
mandibular,マンデビュラー
pudge,パッジ
furthering,ファーザーリング
manicured,マニキュアード
loneliness,ロウンリネス
intimidates,インティミデイツ
o'clock,オクロック
healthwire,ヘルスワイヤ
peeking,ピーキング
suspected,サスペクティド
flexible,フレクシブル
wafting,ワフティング
abled,エイブルド
discarded,ディスカーディド
trance,トゥランス
laxative,ラクサティブ
premise,プレミス
burbled,バーブルド
tendering,テンダリング
bukit,ブキト
ugh,ウー
vdexup,ブイデーイーエックスアップ
perrault,ペロー
rat,ラット
vtachg,ブイティーエイチェンジ
cide,サイド
savageries,サヴィジリーズ
pitiful,ピティフル
simson,シムソン
fir,ファアー
blantancy,ブレイタンシイ
soiled,ソイルド
deadened,デドゥンド
progressed,プログレスト
forbidden,フォビドゥン
assents,アセンツ
pasadena,パサデナ
jiggle,ジグル
rilke,リルケ
committeemen,コミティーメン
comical,コミカル
aboveground,アバヴグラウンド
anamnestic,アナムネスティク
softened,ソフンド
roopy,ルーピイ
microbism,マイクロウビズム
crawfish,クローフィッシュ
vigilant,ヴィジラント
methodologies,メソドロジーズ
criticises,クリティサイジズ
bequeath,ビクウィース
irredmediable,イレミーディアブル
imperialist,インペリアリスト
annihilates,アナイアレイツ
raving,レイヴィング
tabor,テイバー
consummative,コンサメイティブ
babbles,バブルズ
cheekbone,チークボーン
phonal,フォーナル
sscience,エスサイエンス
atheistically,エイシイスティカリー
monde,モンド
batfile,バッチファイル
conciliator,コンシリエイター
slides,スライズ
dank,ダンク
typeii,タイプトゥー
leisurely,リージャリイ
doffs,ドフス
gypsies,ジプシイズ
botie,ボシー
jcsat,ジェイシーサット
temptating,テンプテイティング
enoble,イノーブル
byline,バイライン
liquefied,リクウィファイド
whenever,ウェネヴァー
hegemonist,ヘゲモニスト
experimented,エクスペリメンティド
spluttered,スプラタード
grievance,グリーヴァンス
kashmiri,カシュミリ
cataract,キャタラクト
freezer,フリーザー
apricot's,アプリコットゥズ
satisfies,サティスファイズ
graphs,グラフス
resistants,レジスタンツ
aeroplane,エアロプレイン
earth,アース
bunkmates,バンクメイツ
opiating,オウピアティング
climbing,クライミング
disheartening,ディスハートゥニング
fan,ファン
forcible,フォーシブル
graphical,グラフィカル
aggrieved,アグリーヴド
consul,コンスル
orchestral,オーケストゥラル
matchmaker,マッチメイカー
pesticide,ペスティサイド
suffragist,サフレイジスト
numoff,ナムオフ
garnering,ガーナーリング
phenomenally,フェノメナリー
abbess,アビス
foreigner,フォーリナー
cussword,カスワード
collaring,カラーリング
blinkard,ブリンカード
intonate,イントネイト
lose,ルーズ
verbose,ヴァボウズ
excel,エクセル
marijuana,マリワナ
rended,レンディド
extoling,イクストウリング
public,パブリック
lackadaisical,ラカデイジカル
parasitical,パラシティカル
litigated,リティゲイティド
ntod,エヌトゥーディー
congregation,コングリゲイション
ascetic,アセティック
obstetric,オブステトゥリク
deliberating,ディリバレイティング
wildest,ワイルデスト
elapsed,イラプスト
redefinable,リディファイナブル
sultenfuss,サルテンファス
picker,ピッカー
amphetamines,アンフェタミンズ
hunky,ハンキイ
expressive,エクスプレッシブ
deliverables,デリヴァラブルズ
piling,パイリング
babbling,バブリング
fidiv,エフアイディブ
calamity,カラミティー
antonio,アントニオ
expected,エクスペクティド
genera,ジェネラ
warmth,ウオームス
stratum,ストゥレイタム
musics,ミュウジックス
pried,プライド
hypebolic,ハイプボリック
avouching,アバウチング
phillies,フィリーズ
misinterpreted,ミスインタープリティド
bombarding,ボンバーディング
counting,カウンティング
jiang,ジアーン
fishe,フィッシ
demurely,ディミュァリイ
doraemon,ドラエモン
lieberman,リーバーマン
hankering,ハンカリング
abubakar,アブバカル
derm,ダーム
madi,マデ
larry,ラリー
arrogation,アロゲイション
gabbling,ガブリング
oozy,ウージイ
misdemeanor,ミスディミーナー
pence,ペンス
popular,ポピュラー
slipper,スリッパー
amigo,アミーゴ
recount,リカウント
mend,メンド
slumbrous,スランブラス
accumulator,アキュムレイター
distant,ディスタント
backmo,バックエムオー
rejected,リジェクティド
recurrent,リカレント
proper,プロパー
addressor,アドゥレッサー
fallacious,フォレイシャス
obsessed,オブセスト
alpha,アルフ
contributes,コントゥリビューツ
duller,ダラー
confusing,コンフィゥジング
noisier,ノイジアー
stamp,スタンプ
reck,レック
mulan,ムーラーン
pouf,プーフ
keratoplasty,ケラトプラスティイ
repolarisation,リポーラリゼイション
molecules,モレキュールズ
welt,ウェルト
apprehending,アプリヘンディング
simoom,シムーム
oenophile,イーノファイル
truce,トゥルース
totalized,トータライズド
demystify,ディミスティファイ
nadir,ネイディア
atal,アタル
simplistic,シンプリスティク
carpi,カーパイ
expectancies,エクスペクタンシイズ
squealed,スクィールド
while,ホワイル
crump,クランプ
nip,ニップ
float,フロート
fences,フェンシズ
gluts,グラッツ
litany,リタニイ
releasing,リリーシング
transferable,トゥランスファラブル
pedler,ペドゥラー
festivity,フェスティビティー
soldiery,ソルジャリー
theater,シアター
ileus,イリアス
existentialists,イグジステンシャリスツ
taming,テイミング
creston,クレストン
chaplain,チャプレン
bard,ボード
tower,タワー
sbet,エスベット
schmidt,シュミット
debunks,ディーバンクス
mobile,モバイル
summon,サモン
perjure,パージュア
smirking,スマーキング
defies,ディファイズ
hickories,ヒッコリイズ
commercialise,コマーシャライズ
congregationalist,コングリゲイショナリスト
clarion,クラリオン
precipitated,プレシピテイティド
dynamo,ダイナモ
