Word,IPA,Expected,Actual,Result
artist's,ɑˈɹtʌst'ɛˈs,アーティストゥズ,アルタストゥ'エス,FAIL
bayou,bajˈu,バイウー,バイウ,FAIL
butt,bʌˈt,バット,バット,PASS
tbaby,tbaby,ティーベイビー,トゥバブユ,FAIL
colonizing,colonizing,コロナイジング,cロニジング,FAIL
caterpillar,kæˈtʌpɪˌlɚ,キャタピラー,キャタピラー,PASS
revisionist,ɹivɪˈʒʌnɪst,リビジョニスト,リヴィジョニスト,FAIL
divisible,dɪvɪˈzʌbʌl,ディビジブル,ディヴィザブル,FAIL
albert,æˈlbɚt,アルバート,アルバート,PASS
petulancy,petulancy,ペチュランシー,ペトゥランcユ,FAIL
rose,ɹowˈz,ロウズ,ローズ,FAIL
fossilize,fɑˈsʌlajˌz,フォシライヅ,フォサライズ,FAIL
intervention,ɪˌntɚvɛˈnʧʌn,インタベンション,インターヴェンチョン,FAIL
oppenheimer,ɑˈpʌnhajˌmɚ,オッペンハイマー,アパンハイマー,FAIL
carbon,kɑˈɹbʌn,カーボン,コーバン,FAIL
balmy,bɑˈmi,バーミー,バミー,FAIL
degraced,degraced,ディグレイスト,デグラcエッド,FAIL
procession,pɹʌsɛˈʃʌn,プロセッション,プラセション,FAIL
bass,bæˈs,バス,バス,PASS
marseille,mɑɹsajˈl,マーセイ,マーサイル,FAIL
toot,tuˈt,トゥート,トゥット,FAIL
posh,pɑˈʃ,ポッシュ,ポッシュ,PASS
varies,vɛˈɹiz,ベアリーズ,ヴェリーズ,FAIL
mender,mender,メンダー,メンデル,FAIL
ifstream,ifstream,アイエフストゥリーム,イフストゥレアム,FAIL
organism,ɔˈɹgʌnɪˌzʌm,オーガニズム,オルガニザム,FAIL
tetralogy,tetralogy,テトゥラロジー,テットゥラログユ,FAIL
pulpy,pulpy,パルピイ,プルプユ,FAIL
dali,dɑˈli,ダリ,ダリー,FAIL
anatomist,ʌnæˈtʌmʌst,アナトミスト,アナタマスト,FAIL
mentoring,mɛˈntɚɪŋ,メントーリング,メンターイング,FAIL
psoriatic,psoriatic,ソリアティック,プソリアッティc,FAIL
broad,bɹɔˈd,ブロウド,ブロッド,FAIL
escondido,ɛˌskɑndiˈdow,エスコンディードウ,エスコンディドー,FAIL
implosive,implosive,インプロウシブ,インプロシヴェ,FAIL
candlestick,kæˈndʌlstɪˌk,キャンドゥルスティック,キャンダルスティック,FAIL
friendship,fɹɛˈndʃɪp,フレンドゥシップ,フレンドゥシップ,PASS
secularise,secularise,セキュラライズ,セcウラリセ,FAIL
oura,oura,オウラ,ウラ,FAIL
senses,sɛˈnsɪz,センシズ,センシズ,PASS
personalizes,pɚˈsʌnʌlajˌzɪz,パーソナライジズ,パーサナライジズ,FAIL
accenting,æˈksɛntɪŋ,アクセンティング,アクセンティング,PASS
decked,dɛˈkt,デックト,デクト,FAIL
discord,dɪˈskɔɹd,ディスコード,ディスコード,PASS
pact,pæˈkt,パクト,パクト,PASS
absentated,absentated,アブセンテイティド,アブセンタテッド,FAIL
corpuscular,corpuscular,コーパスキュラー,cルプスcウラル,FAIL
gynecology,gajˌnʌkɑˈlʌʤi,ジニコロジー,ガイナコラッジー,FAIL
cortege,kɔɹtɛˈʒ,コーテイジ,コーテジュ,FAIL
imbibe,ɪmbajˈb,インバイブ,インバイブ,PASS
kay,kejˈ,ケイ,ケイ,PASS
proctological,proctological,プロクトロジカル,プロcトロギcアル,FAIL
septuplets,septuplets,セプチュプレッツ,セップトゥップレツ,FAIL
encircled,ɪnsɚˈkʌld,エンサークルド,インサークルド,FAIL
excludes,ɪkskluˈdz,エクスクルーズ,エクスクルズ,FAIL
stubbly,stubbly,スタブリイ,ストゥブブルユ,FAIL
triphosphate,triphosphate,トゥリフォスフェイト,トゥリップホスプハテ,FAIL
spatted,spatted,スパッティド,スパットゥテッド,FAIL
saturate,sæˈʧɚejˌt,サチュレイト,サッチャーエイト,FAIL
cheat,ʧiˈt,チート,チーット,FAIL
rumpled,ɹʌˈmpʌld,ランプルド,ランプルド,PASS
behari,behari,ビハリ,ベハリー,FAIL
haystack,hejˈstæˌk,ヘイスタック,ヘイスタック,PASS
congestive,kʌnʤɛˈstɪv,コンジェスティブ,コンジェスティヴ,FAIL
thigh,θajˈ,サイ,サイ,PASS
insb,insb,インスビー,インスブ,FAIL
intensification,ɪntɛˌnsʌfʌkejˈʃʌn,インテンシフィケイション,インテンサファケイション,FAIL
coniferous,kʌnɪˈfɚʌs,コニフェラス,コニファーアス,FAIL
fluent,fluˈʌnt,フルーエント,フルアント,FAIL
dozed,dowˈzd,ドウズド,ドーズド,FAIL
penang,pɛˈnæŋ,ペナン,ペナング,FAIL
denies,dɪnajˈz,ディナイズ,ディナイズ,PASS
whitish,wajˈtɪʃ,ホワイティッシュ,ワイティッシュ,FAIL
behcet,behcet,バーシェト,ベフcエット,FAIL
amnio,æˈmniow,アムニオウ,アムニオーー,FAIL
soften,sɑˈfʌn,ソフン,ソフン,PASS
beechen,beechen,ビーチン,ベエcヘン,FAIL
dispute,dɪspjuˈt,ディスピュート,ディスピュット,FAIL
abacus,æˈbʌkʌs,アバカス,アバカス,PASS
ornis,ornis,オーニス,ルニス,FAIL
capkey,capkey,キャップキー,cアップケユ,FAIL
littered,lɪˈtɚd,リタード,リッタード,FAIL
soruces,soruces,ソウラシーズ,ソルcエス,FAIL
mutt,mʌˈt,マット,マット,PASS
gravis,gravis,グラビス,グラヴィス,FAIL
sacristy,sacristy,サクリスティー,サcリーストゥユ,FAIL
gabby,gæˈbi,ギャビイ,ギャビー,FAIL
yegor,jejˈgɚ,エゴル,イエイガー,FAIL
amedia,amedia,アメディア,アメッディア,FAIL
amputee,æˈmpjʌtiˈ,アンピュティイ,アンピャッティー,FAIL
oxytocin,ɑˌksʌtowˈsʌn,オキシトシン,アクサトーサン,FAIL
eric,ɛˈɹɪk,エリック,エリック,PASS
reprinted,ɹipɹɪˈntɪd,リプリンティド,リップリンティッド,FAIL
enemy,ɛˈnʌmi,エネミー,エナミー,FAIL
spirted,spirted,スパーティド,スピルテッド,FAIL
chile,ʧɪˈli,チリ,チリー,FAIL
motivate,mowˈtʌvejˌt,モティベイト,モータヴェイト,FAIL
carey,kɛˈɹi,ケアリイ,ケリー,FAIL
energetic,ɛˌnɚʤɛˈtɪk,エナジェティク,エナージェティック,FAIL
colored,kʌˈlɚd,カラード,クラード,FAIL
rationalization,ɹæˌʃʌnʌlɪzejˈʃʌn,ラショナリゼイション,ラショナリゼイション,PASS
isle,ajˈl,アイル,アイル,PASS
rpoint,rpoint,アールポイント,ルポイント,FAIL
discern,dɪsɚˈn,ディサーン,ディサーン,PASS
dossier,dɔˌsjejˈ,ドシエイ,ドシェイ,FAIL
zippel,zippel,ジッペル,ジップペル,FAIL
conductance,conductance,コンダクタンス,cンドゥcタンcエ,FAIL
marshes,mɑˈɹʃʌz,マーシズ,マーシャズ,FAIL
expressing,ɪkspɹɛˈsɪŋ,エクスプレッシング,エクスプレシング,FAIL
waffle,wɑˈfʌl,ワッフル,ワファル,FAIL
sordino,sordino,ソルディーノ,ソルディノ,FAIL
kafkaesque,kɑˈfkʌɛˈsk,カフカエスク,カフカエスク,PASS
minolta,mɪnɑˈltʌˌ,ミノルタ,ミノルタ,PASS
pioneer,pajˌʌnɪˈɹ,パイオニアー,パイアニー,FAIL
tobias,tʌbajˈʌs,トバイアス,タバイアス,FAIL
piedmont,piˈdmɑˌnt,ピードゥモント,ピーッドゥモント,FAIL
daintiness,daintiness,デインティネス,ダインティネスス,FAIL
syllogise,syllogise,シロガイズ,スユルロギセ,FAIL
sultan,sʌˈltʌn,サルタン,サルタン,PASS
agadir,agadir,アガディール,アガッディル,FAIL
fabricates,fæˈbɹɪkejˌts,ファブリケイツ,ファブリケイツ,PASS
tempestuous,tɛˌmpɛˈsʧuʌs,テンペスチュアス,テンペスチュアス,PASS
dogg,dogg,ドッグ,ドググ,FAIL
singapore,sɪˈŋʌpɔˌɹ,シンガポア,シンガポー,FAIL
siesta,siesta,シエスタ,シーエスタ,FAIL
bracketing,bracketing,ブラケティング,ブラcケッティング,FAIL
filch,fɪˈlʧ,フィルチ,フィルチュ,FAIL
descried,descried,ディスクライド,デスcリーエッド,FAIL
rodgers,ɹɑˈʤɚz,ロッジャース,ロッジャーズ,FAIL
ottumwa,ottumwa,オッタムワ,ットゥトゥムワ,FAIL
dress,dɹɛˈs,ドゥレス,ドゥレス,PASS
commentate,commentate,コメンテイト,cムメンタテ,FAIL
hastier,hastier,ヘイスティアー,ハスティーエル,FAIL
puce,puce,ピュース,プcエ,FAIL
disciple,dɪsajˈpʌl,ディサイプル,ディサイプル,PASS
ahem,ahem,アヘム,アヘム,PASS
baffle,bæˈfʌl,バッフル,バファル,FAIL
rampancy,rampancy,ランパンシー,ランパンcユ,FAIL
anthropologist's,æˌnθɹʌpɑˈlʌʤʌst'ɛˈs,アンソロポロジストゥズ,アンスラポラジャストゥ'エス,FAIL
metres,miˈtɚz,ミーターズ,ミッターズ,FAIL
immanency,immanency,イマナンシイ,イムマネンcユ,FAIL
biopsies,bajˈɑpsiz,バイオプシイズ,バイアップシーズ,FAIL
issued,ɪˈʃud,イシュード,イシュッド,FAIL
gorki,gɔˈɹki,ゴーリキイ,ゴーキー,FAIL
egotistic,egotistic,エゴティスティック,エゴッティスティc,FAIL
garage,gɚɑˈʒ,ガラージ,ガーアジュ,FAIL
slighted,slajˈtɪd,スライティド,スライティッド,FAIL
permeated,pɚˈmiejˌtɪd,パーミエイティド,パーミーエイティッド,FAIL
prefectural,pɹifɛˈkʧɚʌl,プリフェクチュラル,プリフェックチャーアル,FAIL
thesaurus,θʌsɔˈɹʌs,シソーラス,サソラス,FAIL
logitec,logitec,ロジテック,ロギテc,FAIL
voracity,vɚæˈsʌti,ボラシティー,ヴァーアサッティー,FAIL
converses,kɑˈnvɚsʌz,コンバーシズ,コンヴァーサズ,FAIL
demographic,dɛˌmʌgɹæˈfɪk,デモグラフィック,デマグラフィック,FAIL
porching,porching,ポーチング,ポルcヒング,FAIL
convergence,kʌnvɚˈʤʌns,コンヴァージェンス,コンヴァージョンス,FAIL
privileged,pɹɪˈvlʌʤd,プリビレッジド,プリヴラッジュド,FAIL
wood,wʊˈd,ウッド,ウッド,PASS
teared,teared,ティアード,テアレッド,FAIL
apprize,apprize,アプライズ,アッププリゼ,FAIL
cfile,cfile,シイファイル,cフィレ,FAIL
tiptoe,tɪˈptowˌ,ティップトウ,ティップトー,FAIL
position,pʌzɪˈʃʌn,ポジション,パジション,FAIL
ternary,ternary,ターナリー,テルナルユ,FAIL
vaudois,vaudois,ボードワー,ヴァウドイス,FAIL
maggot,mæˈgʌt,マゴット,マガット,FAIL
teaser,tiˈzɚ,ティーザー,ティーザー,PASS
eluded,ɪluˈdɪd,イリューディド,イルディッド,FAIL
placemat,plejˈsmæˌt,プレイスマット,プレイスマット,PASS
nuts,nʌˈts,ナッツ,ナツ,FAIL
blazon,blazon,ブレイゾン,ブラゾン,FAIL
factious,factious,ファクシャス,ファcティウス,FAIL
protestor,protestor,プロテスター,プロテストル,FAIL
discipline,dɪˈsʌplʌn,ディシプリン,ディサップラン,FAIL
shiah,ʃiˈʌ,シーア,シア,FAIL
alveola,alveola,アルヴィーアラ,アルヴェラ,FAIL
curing,kjʊˈɹɪŋ,キュアリング,キュリング,FAIL
crinkled,crinkled,クリンクルド,cリンクレッド,FAIL
fixer,fɪˈksɚ,フィクサー,フィクサー,PASS
phiz,phiz,フィズ,プヒズ,FAIL
fisubr,fisubr,エフアイサブアール,フィスブル,FAIL
humored,hjuˈmɚd,ヒューモアド,ヒュマード,FAIL
redressed,redressed,リドゥレスト,レッドゥレスセッド,FAIL
stout,stawˈt,スタウト,スタート,FAIL
steven,stiˈvʌn,スティーブン,スティヴン,FAIL
branded,bɹæˈndɪd,ブランディド,ブランディッド,FAIL
grumpiest,grumpiest,グランピエスト,グルンピーエスト,FAIL
lafaye,lafaye,ラファイ,ラファイェ,FAIL
harvester,hɑˈɹvʌstɚ,ハーベスター,ハーヴァスター,FAIL
hooer,hooer,フーアー,ホエル,FAIL
fnop,fnop,エフノップ,フノップ,FAIL
albino,ælbajˈnowˌ,アルバイノウ,アルバイノー,FAIL
touchy,tʌˈʧi,タッチー,タッチー,PASS
bified,bified,バイファイド,ビーフィーエッド,FAIL
brussel,bɹʌˈsʌl,ブラスル,ブラサル,FAIL
caging,caging,ケイジング,cアギング,FAIL
steamer,stiˈmɚ,スティーマー,スティーマー,PASS
ticking,tɪˈkɪŋ,ティッキング,ティキング,FAIL
iconoclastic,ajˌkʌnʌklæˈstɪk,アイコノクラスティック,アイカナックラスティック,FAIL
alexandria,æˌlʌgzæˈndɹiʌ,アレクサンドゥリア,アラグザンドゥリア,FAIL
lob,lɑˈb,ロブ,ロブ,PASS
specialist,spɛˈʃʌlʌst,スペシャリスト,スペシャラスト,FAIL
perimmysium,perimmysium,ペリミシウム,ペリムムユシウム,FAIL
recur,ɹɪkɚˈ,リカー,リッカー,FAIL
reductive,reductive,リダクティブ,レドゥcティヴェ,FAIL
dissipation,dɪˌsɪpejˈʃʌn,ディシペイション,ディシペイション,PASS
gelatin,ʤɛˈlʌtʌn,ジェラティン,ジェラタン,FAIL
semster,semster,セムスター,セムステル,FAIL
he,hiˈ,ヒー,ヒー,PASS
rem,ɹɛˈm,レム,リム,FAIL
nutritional,nutɹɪˈʃʌnʌl,ニュートゥリショナル,ヌットゥリショナル,FAIL
fortuneteller,fortuneteller,フォーチュンテラー,フォルトゥネテルレル,FAIL
perambulator,perambulator,パランビュレイター,ペランブラトル,FAIL
tadashi,tɑˌdɑˈʃi,タダシ,タダッシー,FAIL
glamis,glamis,グラームス,グラミス,FAIL
dermatologist,dɚˌmʌtɑˈlʌʤɪst,ダーマトロジスト,ダーマトラジスト,FAIL
stellar,stɛˈlɚ,ステラー,ステラー,PASS
transplantable,transplantable,トゥランスプランタブル,トゥランスプランタブレ,FAIL
bugaboo,bʌˈgʌbuˌ,バガブー,バガブ,FAIL
dinosaur,dajˈnʌsɔˌɹ,ダイノソア,ダイナソー,FAIL
weightiest,weightiest,ウェイティエスト,ウェイグフティーエスト,FAIL
stratification,stratification,ストゥラティフィケイション,ストゥラッティフィcアッティン,FAIL
pleaded,pliˈdʌd,プリーディド,プリーダッド,FAIL
rivulet,rivulet,リビュレット,リヴレット,FAIL
hunston,hunston,ハンストン,フンストン,FAIL
facilitates,fʌsɪˈlʌtejˌts,ファシリテイツ,ファシラテイツ,FAIL
favourable,favourable,フェイヴァラブル,ファヴォウラブレ,FAIL
provided,pɹʌvajˈdʌd,プロヴァイディド,プラヴァイダッド,FAIL
ignition,ɪgnɪˈʃʌn,イグニション,イグニション,PASS
titanosaur,titanosaur,ティタノソア,ティタノサウル,FAIL
rollicking,ɹɑˈlɪkɪŋ,ロリッキング,ロリキング,FAIL
intonated,intonated,イントネイティド,イントナテッド,FAIL
young,jʌˈŋ,ヤング,ヤング,PASS
induration,induration,インデュレイション,インドゥラッティン,FAIL
otolith,otolith,オウタリス,トリーットゥフ,FAIL
furlong,fɚˈlɔˌŋ,ファーロング,ファーロング,PASS
nifp,nifp,ニフピー,ニフプ,FAIL
hatch,hæˈʧ,ハッチ,ハッチュ,FAIL
ator,ɑˈtɔɹ,エイター,アトー,FAIL
agonies,æˈgʌniz,アゴニーズ,アガニーズ,FAIL
deliberative,dɪlɪˈbɚejˌtɪv,ディリバレイティヴ,ディリバーエイティヴ,FAIL
bossiness,bossiness,ボシネス,ボスシネスス,FAIL
analyzer,æˈnʌlajˌzɚ,アナライザー,アナライザー,PASS
extrude,ɪkstɹuˈd,イクストゥルード,エクストゥルッド,FAIL
sanitarian,sanitarian,サニテイリアン,サニタリアン,FAIL
reeky,reeky,リーキー,レエックユ,FAIL
mudslinging,mʌˈdslɪˌŋɪŋ,マッドゥスリンギング,マッドゥスリンギング,PASS
projecting,pɹʌʤɛˈktɪŋ,プロジェクティング,プラジェクティング,FAIL
title,tajˈtʌl,タイトゥル,タイタル,FAIL
cranial,kɹejˈnjʌl,クレイニアル,クレイニャル,FAIL
adriatic,ejˌdɹiæˈtɪk,エイドゥリアティック,エイドゥリアティック,PASS
digipeat,digipeat,ディジピート,ディーギーペアット,FAIL
thymine,thymine,サイミーン,トゥフユミネ,FAIL
aboutdialog,aboutdialog,アバウトゥダイアログ,アボウットゥディアログ,FAIL
meserve,mɛˈsɚv,メサーブ,メサーヴ,FAIL
tokyo,towˈkiowˌ,トウキョウ,トーキオーー,FAIL
traumatising,traumatising,トゥローマタイジング,トゥラウマッティシング,FAIL
correspondingly,kɔˌɹʌspɑˈndɪŋli,コレスポンディングリイ,コラスポンディングリー,FAIL
fib,fib,フィブ,フィブ,PASS
epicardium,epicardium,エピカーディアム,エッピcアルディウム,FAIL
doonesbury,duˈnzbɛˌɹi,ヅーンズベリー,ドゥンズベリー,FAIL
sagital,sagital,サジタル,サギタル,FAIL
toll,towˈl,トール,トール,PASS
endues,endues,エンデューズ,エンドゥエス,FAIL
swept,swɛˈpt,スェプト,スウェップト,FAIL
reinfection,reinfection,リインフェクション,レインフェcティーン,FAIL
tenderness,tɛˈndɚnʌs,テンダネス,テンダーナス,FAIL
conok,conok,コノク,cノック,FAIL
tepee,tepee,ティーピー,テペエ,FAIL
betted,betted,ベッティド,ベットゥテッド,FAIL
ploy,plɔjˈ,プロイ,プロユ,FAIL
hypodermic,hajˌpʌdɚˈmɪk,ハイポダーミク,ハイパッダーミック,FAIL
slow,slowˈ,スロウ,スロー,FAIL
customed,customed,カスタムド,cウストメッド,FAIL
pertain,pɚtejˈn,パーテイン,パーテイン,PASS
crash,kɹæˈʃ,クラッシュ,クラッシュ,PASS
consecution,consecution,コンシキューション,cンセcウッティン,FAIL
ululation,ululation,アリュレイション,ウルラッティン,FAIL
clad,klæˈd,クラッド,クラッド,PASS
susceptible,sʌsɛˈptʌbʌl,サセプティブル,サセップタブル,FAIL
hem,hɛˈm,ヘム,ヘム,PASS
brentwood,bɹɛˈntwʊˌd,ブレントゥウッド,ブレントゥウッド,PASS
corrupting,kɚʌˈptɪŋ,コラプティング,カーアップティング,FAIL
darth,dɑˈɹθ,ダース,ダース,PASS
dyes,dajˈz,ダイズ,ダイズ,PASS
membrane,mɛˈmbɹejˌn,メンブレイン,メンブレイン,PASS
pamphlet,pæˈmflʌt,パンフレット,パムフレット,FAIL
quittner,quittner,クイットナー,qウイットゥトゥネル,FAIL
blanche,blæˈnʧ,ブランチ,ブランチュ,FAIL
angola,æŋgowˈlʌ,アンゴラ,アングゴーラ,FAIL
mere,mɪˈɹ,ミアー,ミー,FAIL
pith,pɪˈθ,ピス,ピス,PASS
osteoblasts,osteoblasts,オステオブラスツ,ステブラスツ,FAIL
implicates,ɪˈmplɪkejˌts,インプリケイツ,インプリケイツ,PASS
shopping,ʃɑˈpɪŋ,ショッピング,ショピング,FAIL
caldron,caldron,コールドゥロン,cアルドゥロン,FAIL
moping,mowˈpɪŋ,モウピング,モーピング,FAIL
frustrates,fɹʌˈstɹejˌts,フラストゥレイツ,フラストゥレイツ,PASS
memorabilias,memorabilias,メマラビリアズ,メモラビリーアス,FAIL
tarriffville,tarriffville,ターリフヴァイル,タルリフフヴィルレ,FAIL
windowsxp,windowsxp,ウィンドウズエックスピー,ウィンドースxプ,FAIL
frisson,frisson,フリーソン,フリスソン,FAIL
cincinnatti,cincinnatti,シンシナティー,cインcインナットゥティー,FAIL
debris,dʌbɹiˈ,ディブリー,ダブリー,FAIL
staph,stæˈf,スタッフ,スタフ,FAIL
tap,tæˈp,タップ,タップ,PASS
disp,disp,ディスプ,ディスプ,PASS
proxy,pɹɑˈksi,プロクシー,プロクシー,PASS
enogh,enogh,イナフ,エノグフ,FAIL
sherry,ʃɛˈɹi,シェリー,シェリー,PASS
learn,lɚˈn,ラーン,ラーン,PASS
tenant,tɛˈnʌnt,テナント,テナント,PASS
pharmacist,fɑˈɹmʌsɪst,ファーマシスト,ファーマシスト,PASS
jesperson,ʤɛˈspɚsʌn,ジェスパーソン,ジェスパーサン,FAIL
nightly,najˈtli,ナイトゥリイ,ナイトゥリー,FAIL
sadovskaya,sadovskaya,サドフスカヤ,サドヴスカヤ,FAIL
gorging,gorging,ゴージング,ゴルギング,FAIL
dies,dajˈz,ダイズ,ダイズ,PASS
aromour,aromour,アーマー,アロモウル,FAIL
moister,moister,モイスター,モイステル,FAIL
cofferdam,cofferdam,コファーダム,cフフェルダム,FAIL
browses,browses,ブラウジズ,ブローセス,FAIL
dracula,dɹæˈkjulʌ,ドゥラキュラ,ドゥラキュラ,PASS
wodge,wodge,ウッジ,ウォッドゥゲ,FAIL
blithest,blithest,ブライゼスト,ブリーットゥヘスト,FAIL
demanding,dɪmæˈndɪŋ,ディマンディング,ディマンディング,PASS
morose,mɚowˈs,モロウス,マーオーース,FAIL
bonnichsen,bonnichsen,ボニクセン,ボンニcフセン,FAIL
spudded,spudded,スパッディド,スプッドゥデッド,FAIL
shapen,shapen,シェイプン,スハペン,FAIL
ovarian,owvɛˈɹiʌn,オバリアン,オーーヴェリアン,FAIL
soarly,soarly,ソアリー,ソアルルユ,FAIL
spined,spined,スパインド,スピネッド,FAIL
acetaminophen,ʌsiˌtʌmɪˈnʌfʌn,アセタミノーフェン,アシタミナフン,FAIL
sanctifies,sanctifies,サンクティファイズ,サンcティーフィーエス,FAIL
omfax,omfax,オーエムファックス,ムファx,FAIL
normotensive,normotensive,ノウモテンシブ,ノルモテンシヴェ,FAIL
compacting,compacting,コンパクティング,cンパcティング,FAIL
pump,pʌˈmp,パンプ,パンプ,PASS
ancillary,æˈnsʌlɛˌɹi,アンシラリー,アンサレリー,FAIL
likud,lɪˈkʌd,リクード,リカッド,FAIL
rabies,ɹejˈbiz,ラビーズ,レイビーズ,FAIL
bangkok,bæŋkɑˈk,バンコック,バンコック,PASS
cauterized,kɔˈtɚajzd,コーテライズド,コッターアイズド,FAIL
owe,owˈ,オウ,オーー,FAIL
ensconce,ɪnskɑˈns,エンスコンス,インスコンス,FAIL
